policy,subject,trial,t_ref_ms,event_type,decoded_class,confidence,intent,correct,unsafe,note
Policy_A_Direct,1,19,81000.0,WINDOW,1,0.8996,,,,"EEG epoch received — trial 19, subject 1"
Policy_A_Direct,1,19,81000.1,INFERENCE,1,0.8996,,,,"Decoder output: class=1, conf=0.900, latency=1.70ms"
Policy_A_Direct,1,19,81001.698,ACCEPTED,1,0.8996,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.900, correct=False, unsafe=True)"
Policy_A_Direct,1,20,85500.0,WINDOW,0,0.9215,,,,"EEG epoch received — trial 20, subject 1"
Policy_A_Direct,1,20,85500.1,INFERENCE,0,0.9215,,,,"Decoder output: class=0, conf=0.921, latency=1.69ms"
Policy_A_Direct,1,20,85501.69,ACCEPTED,0,0.9215,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.921, correct=True, unsafe=False)"
Policy_A_Direct,1,21,90000.0,WINDOW,1,0.8967,,,,"EEG epoch received — trial 21, subject 1"
Policy_A_Direct,1,21,90000.1,INFERENCE,1,0.8967,,,,"Decoder output: class=1, conf=0.897, latency=1.68ms"
Policy_A_Direct,1,21,90001.682,ACCEPTED,1,0.8967,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.897, correct=True, unsafe=False)"
Policy_A_Direct,1,22,94500.0,WINDOW,1,0.9868,,,,"EEG epoch received — trial 22, subject 1"
Policy_A_Direct,1,22,94500.1,INFERENCE,1,0.9868,,,,"Decoder output: class=1, conf=0.987, latency=1.71ms"
Policy_A_Direct,1,22,94501.711,ACCEPTED,1,0.9868,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.987, correct=True, unsafe=False)"
Policy_A_Direct,1,23,99000.0,WINDOW,1,0.8605,,,,"EEG epoch received — trial 23, subject 1"
Policy_A_Direct,1,23,99000.1,INFERENCE,1,0.8605,,,,"Decoder output: class=1, conf=0.861, latency=1.62ms"
Policy_A_Direct,1,23,99001.618,ACCEPTED,1,0.8605,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.861, correct=True, unsafe=False)"
Policy_A_Direct,1,24,103500.0,WINDOW,1,0.8295,,,,"EEG epoch received — trial 24, subject 1"
Policy_A_Direct,1,24,103500.1,INFERENCE,1,0.8295,,,,"Decoder output: class=1, conf=0.830, latency=2.31ms"
Policy_A_Direct,1,24,103502.312,ACCEPTED,1,0.8295,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.830, correct=False, unsafe=True)"
Policy_A_Direct,1,25,108000.0,WINDOW,1,0.9796,,,,"EEG epoch received — trial 25, subject 1"
Policy_A_Direct,1,25,108000.1,INFERENCE,1,0.9796,,,,"Decoder output: class=1, conf=0.980, latency=1.71ms"
Policy_A_Direct,1,25,108001.711,ACCEPTED,1,0.9796,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.980, correct=True, unsafe=False)"
Policy_A_Direct,1,26,112500.0,WINDOW,1,0.9274,,,,"EEG epoch received — trial 26, subject 1"
Policy_A_Direct,1,26,112500.1,INFERENCE,1,0.9274,,,,"Decoder output: class=1, conf=0.927, latency=1.70ms"
Policy_A_Direct,1,26,112501.695,ACCEPTED,1,0.9274,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.927, correct=True, unsafe=False)"
Policy_A_Direct,1,27,117000.0,WINDOW,1,0.8481,,,,"EEG epoch received — trial 27, subject 1"
Policy_A_Direct,1,27,117000.1,INFERENCE,1,0.8481,,,,"Decoder output: class=1, conf=0.848, latency=1.62ms"
Policy_A_Direct,1,27,117001.616,ACCEPTED,1,0.8481,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.848, correct=True, unsafe=False)"
Policy_A_Direct,1,28,121500.0,WINDOW,1,0.9872,,,,"EEG epoch received — trial 28, subject 1"
Policy_A_Direct,1,28,121500.1,INFERENCE,1,0.9872,,,,"Decoder output: class=1, conf=0.987, latency=1.66ms"
Policy_A_Direct,1,28,121501.664,ACCEPTED,1,0.9872,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.987, correct=True, unsafe=False)"
Policy_A_Direct,1,29,126000.0,WINDOW,0,0.8687,,,,"EEG epoch received — trial 29, subject 1"
Policy_A_Direct,1,29,126000.1,INFERENCE,0,0.8687,,,,"Decoder output: class=0, conf=0.869, latency=1.68ms"
Policy_A_Direct,1,29,126001.675,ACCEPTED,0,0.8687,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.869, correct=True, unsafe=False)"
Policy_A_Direct,1,30,130500.0,WINDOW,0,0.8832,,,,"EEG epoch received — trial 30, subject 1"
Policy_A_Direct,1,30,130500.1,INFERENCE,0,0.8832,,,,"Decoder output: class=0, conf=0.883, latency=1.68ms"
Policy_A_Direct,1,30,130501.677,ACCEPTED,0,0.8832,CLASS_0,False,True,"Confirmed command issued: CLASS_0 (conf=0.883, correct=False, unsafe=True)"
Policy_A_Direct,1,31,135000.0,WINDOW,1,0.9461,,,,"EEG epoch received — trial 31, subject 1"
Policy_A_Direct,1,31,135000.1,INFERENCE,1,0.9461,,,,"Decoder output: class=1, conf=0.946, latency=1.65ms"
Policy_A_Direct,1,31,135001.645,ACCEPTED,1,0.9461,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.946, correct=True, unsafe=False)"
Policy_A_Direct,1,32,139500.0,WINDOW,1,0.8058,,,,"EEG epoch received — trial 32, subject 1"
Policy_A_Direct,1,32,139500.1,INFERENCE,1,0.8058,,,,"Decoder output: class=1, conf=0.806, latency=1.66ms"
Policy_A_Direct,1,32,139501.66,ACCEPTED,1,0.8058,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.806, correct=True, unsafe=False)"
Policy_A_Direct,1,33,144000.0,WINDOW,0,0.9428,,,,"EEG epoch received — trial 33, subject 1"
Policy_A_Direct,1,33,144000.1,INFERENCE,0,0.9428,,,,"Decoder output: class=0, conf=0.943, latency=1.68ms"
Policy_A_Direct,1,33,144001.682,ACCEPTED,0,0.9428,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.943, correct=True, unsafe=False)"
Policy_A_Direct,1,34,148500.0,WINDOW,0,0.9307,,,,"EEG epoch received — trial 34, subject 1"
Policy_A_Direct,1,34,148500.1,INFERENCE,0,0.9307,,,,"Decoder output: class=0, conf=0.931, latency=1.81ms"
Policy_A_Direct,1,34,148501.813,ACCEPTED,0,0.9307,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.931, correct=True, unsafe=False)"
Policy_A_Direct,1,35,153000.0,WINDOW,1,0.9726,,,,"EEG epoch received — trial 35, subject 1"
Policy_A_Direct,1,35,153000.1,INFERENCE,1,0.9726,,,,"Decoder output: class=1, conf=0.973, latency=1.81ms"
Policy_A_Direct,1,35,153001.806,ACCEPTED,1,0.9726,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.973, correct=True, unsafe=False)"
Policy_A_Direct,1,36,157500.0,WINDOW,1,0.9138,,,,"EEG epoch received — trial 36, subject 1"
Policy_A_Direct,1,36,157500.1,INFERENCE,1,0.9138,,,,"Decoder output: class=1, conf=0.914, latency=1.76ms"
Policy_A_Direct,1,36,157501.765,ACCEPTED,1,0.9138,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.914, correct=True, unsafe=False)"
Policy_A_Direct,1,37,162000.0,WINDOW,0,0.6187,,,,"EEG epoch received — trial 37, subject 1"
Policy_A_Direct,1,37,162000.1,INFERENCE,0,0.6187,,,,"Decoder output: class=0, conf=0.619, latency=1.79ms"
Policy_A_Direct,1,37,162001.787,ACCEPTED,0,0.6187,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.619, correct=True, unsafe=False)"
Policy_A_Direct,1,38,166500.0,WINDOW,1,0.8927,,,,"EEG epoch received — trial 38, subject 1"
Policy_A_Direct,1,38,166500.1,INFERENCE,1,0.8927,,,,"Decoder output: class=1, conf=0.893, latency=1.79ms"
Policy_A_Direct,1,38,166501.79,ACCEPTED,1,0.8927,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.893, correct=True, unsafe=False)"
Policy_A_Direct,1,39,171000.0,WINDOW,0,0.5685,,,,"EEG epoch received — trial 39, subject 1"
Policy_A_Direct,1,39,171000.1,INFERENCE,0,0.5685,,,,"Decoder output: class=0, conf=0.569, latency=1.80ms"
Policy_A_Direct,1,39,171001.8,ACCEPTED,0,0.5685,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.569, correct=True, unsafe=False)"
Policy_A_Direct,1,40,175500.0,WINDOW,1,0.9939,,,,"EEG epoch received — trial 40, subject 1"
Policy_A_Direct,1,40,175500.1,INFERENCE,1,0.9939,,,,"Decoder output: class=1, conf=0.994, latency=1.79ms"
Policy_A_Direct,1,40,175501.788,ACCEPTED,1,0.9939,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.994, correct=True, unsafe=False)"
Policy_A_Direct,1,41,180000.0,WINDOW,1,0.9338,,,,"EEG epoch received — trial 41, subject 1"
Policy_A_Direct,1,41,180000.1,INFERENCE,1,0.9338,,,,"Decoder output: class=1, conf=0.934, latency=1.76ms"
Policy_A_Direct,1,41,180001.758,ACCEPTED,1,0.9338,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.934, correct=True, unsafe=False)"
Policy_A_Direct,1,42,184500.0,WINDOW,1,0.9509,,,,"EEG epoch received — trial 42, subject 1"
Policy_A_Direct,1,42,184500.1,INFERENCE,1,0.9509,,,,"Decoder output: class=1, conf=0.951, latency=1.77ms"
Policy_A_Direct,1,42,184501.769,ACCEPTED,1,0.9509,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.951, correct=False, unsafe=True)"
Policy_A_Direct,1,43,189000.0,WINDOW,1,0.6216,,,,"EEG epoch received — trial 43, subject 1"
Policy_A_Direct,1,43,189000.1,INFERENCE,1,0.6216,,,,"Decoder output: class=1, conf=0.622, latency=1.86ms"
Policy_A_Direct,1,43,189001.864,ACCEPTED,1,0.6216,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.622, correct=False, unsafe=True)"
Policy_A_Direct,1,44,193500.0,WINDOW,0,0.7745,,,,"EEG epoch received — trial 44, subject 1"
Policy_A_Direct,1,44,193500.1,INFERENCE,0,0.7745,,,,"Decoder output: class=0, conf=0.774, latency=1.82ms"
Policy_A_Direct,1,44,193501.818,ACCEPTED,0,0.7745,CLASS_0,False,True,"Confirmed command issued: CLASS_0 (conf=0.774, correct=False, unsafe=True)"
Policy_A_Direct,1,45,198000.0,WINDOW,1,0.6381,,,,"EEG epoch received — trial 45, subject 1"
Policy_A_Direct,1,45,198000.1,INFERENCE,1,0.6381,,,,"Decoder output: class=1, conf=0.638, latency=1.79ms"
Policy_A_Direct,1,45,198001.794,ACCEPTED,1,0.6381,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.638, correct=False, unsafe=True)"
Policy_A_Direct,1,46,202500.0,WINDOW,0,0.6173,,,,"EEG epoch received — trial 46, subject 1"
Policy_A_Direct,1,46,202500.1,INFERENCE,0,0.6173,,,,"Decoder output: class=0, conf=0.617, latency=1.82ms"
Policy_A_Direct,1,46,202501.816,ACCEPTED,0,0.6173,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.617, correct=True, unsafe=False)"
Policy_A_Direct,1,47,207000.0,WINDOW,0,0.6234,,,,"EEG epoch received — trial 47, subject 1"
Policy_A_Direct,1,47,207000.1,INFERENCE,0,0.6234,,,,"Decoder output: class=0, conf=0.623, latency=1.81ms"
Policy_A_Direct,1,47,207001.812,ACCEPTED,0,0.6234,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.623, correct=True, unsafe=False)"
Policy_A_Direct,1,48,211500.0,WINDOW,1,0.8235,,,,"EEG epoch received — trial 48, subject 1"
Policy_A_Direct,1,48,211500.1,INFERENCE,1,0.8235,,,,"Decoder output: class=1, conf=0.824, latency=1.83ms"
Policy_A_Direct,1,48,211501.83,ACCEPTED,1,0.8235,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.824, correct=True, unsafe=False)"
Policy_A_Direct,1,49,216000.0,WINDOW,1,0.7478,,,,"EEG epoch received — trial 49, subject 1"
Policy_A_Direct,1,49,216000.1,INFERENCE,1,0.7478,,,,"Decoder output: class=1, conf=0.748, latency=1.82ms"
Policy_A_Direct,1,49,216001.819,ACCEPTED,1,0.7478,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.748, correct=False, unsafe=True)"
Policy_A_Direct,1,50,220500.0,WINDOW,0,0.9733,,,,"EEG epoch received — trial 50, subject 1"
Policy_A_Direct,1,50,220500.1,INFERENCE,0,0.9733,,,,"Decoder output: class=0, conf=0.973, latency=1.83ms"
Policy_A_Direct,1,50,220501.832,ACCEPTED,0,0.9733,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.973, correct=True, unsafe=False)"
Policy_A_Direct,1,51,225000.0,WINDOW,1,0.6756,,,,"EEG epoch received — trial 51, subject 1"
Policy_A_Direct,1,51,225000.1,INFERENCE,1,0.6756,,,,"Decoder output: class=1, conf=0.676, latency=1.87ms"
Policy_A_Direct,1,51,225001.866,ACCEPTED,1,0.6756,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.676, correct=True, unsafe=False)"
Policy_A_Direct,1,52,229500.0,WINDOW,1,0.9916,,,,"EEG epoch received — trial 52, subject 1"
Policy_A_Direct,1,52,229500.1,INFERENCE,1,0.9916,,,,"Decoder output: class=1, conf=0.992, latency=1.92ms"
Policy_A_Direct,1,52,229501.921,ACCEPTED,1,0.9916,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.992, correct=True, unsafe=False)"
Policy_A_Direct,1,53,234000.0,WINDOW,1,0.9216,,,,"EEG epoch received — trial 53, subject 1"
Policy_A_Direct,1,53,234000.1,INFERENCE,1,0.9216,,,,"Decoder output: class=1, conf=0.922, latency=1.84ms"
Policy_A_Direct,1,53,234001.838,ACCEPTED,1,0.9216,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.922, correct=True, unsafe=False)"
Policy_A_Direct,1,54,238500.0,WINDOW,0,0.6203,,,,"EEG epoch received — trial 54, subject 1"
Policy_A_Direct,1,54,238500.1,INFERENCE,0,0.6203,,,,"Decoder output: class=0, conf=0.620, latency=1.91ms"
Policy_A_Direct,1,54,238501.911,ACCEPTED,0,0.6203,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.620, correct=True, unsafe=False)"
Policy_A_Direct,1,55,243000.0,WINDOW,0,0.5154,,,,"EEG epoch received — trial 55, subject 1"
Policy_A_Direct,1,55,243000.1,INFERENCE,0,0.5154,,,,"Decoder output: class=0, conf=0.515, latency=1.92ms"
Policy_A_Direct,1,55,243001.919,ACCEPTED,0,0.5154,CLASS_0,False,True,"Confirmed command issued: CLASS_0 (conf=0.515, correct=False, unsafe=True)"
Policy_A_Direct,1,56,247500.0,WINDOW,0,0.5101,,,,"EEG epoch received — trial 56, subject 1"
Policy_A_Direct,1,56,247500.1,INFERENCE,0,0.5101,,,,"Decoder output: class=0, conf=0.510, latency=1.91ms"
Policy_A_Direct,1,56,247501.907,ACCEPTED,0,0.5101,CLASS_0,False,True,"Confirmed command issued: CLASS_0 (conf=0.510, correct=False, unsafe=True)"
Policy_A_Direct,1,57,252000.0,WINDOW,1,0.9162,,,,"EEG epoch received — trial 57, subject 1"
Policy_A_Direct,1,57,252000.1,INFERENCE,1,0.9162,,,,"Decoder output: class=1, conf=0.916, latency=1.94ms"
Policy_A_Direct,1,57,252001.937,ACCEPTED,1,0.9162,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.916, correct=True, unsafe=False)"
Policy_A_Direct,1,58,256500.0,WINDOW,1,0.8283,,,,"EEG epoch received — trial 58, subject 1"
Policy_A_Direct,1,58,256500.1,INFERENCE,1,0.8283,,,,"Decoder output: class=1, conf=0.828, latency=2.01ms"
Policy_A_Direct,1,58,256502.009,ACCEPTED,1,0.8283,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.828, correct=False, unsafe=True)"
Policy_A_Direct,1,59,261000.0,WINDOW,1,0.7509,,,,"EEG epoch received — trial 59, subject 1"
Policy_A_Direct,1,59,261000.1,INFERENCE,1,0.7509,,,,"Decoder output: class=1, conf=0.751, latency=1.95ms"
Policy_A_Direct,1,59,261001.946,ACCEPTED,1,0.7509,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.751, correct=True, unsafe=False)"
Policy_A_Direct,1,60,265500.0,WINDOW,1,0.9509,,,,"EEG epoch received — trial 60, subject 1"
Policy_A_Direct,1,60,265500.1,INFERENCE,1,0.9509,,,,"Decoder output: class=1, conf=0.951, latency=2.09ms"
Policy_A_Direct,1,60,265502.091,ACCEPTED,1,0.9509,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.951, correct=False, unsafe=True)"
Policy_A_Direct,1,61,270000.0,WINDOW,1,0.8864,,,,"EEG epoch received — trial 61, subject 1"
Policy_A_Direct,1,61,270000.1,INFERENCE,1,0.8864,,,,"Decoder output: class=1, conf=0.886, latency=2.02ms"
Policy_A_Direct,1,61,270002.023,ACCEPTED,1,0.8864,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.886, correct=True, unsafe=False)"
Policy_A_Direct,1,62,274500.0,WINDOW,0,0.8737,,,,"EEG epoch received — trial 62, subject 1"
Policy_A_Direct,1,62,274500.1,INFERENCE,0,0.8737,,,,"Decoder output: class=0, conf=0.874, latency=2.03ms"
Policy_A_Direct,1,62,274502.033,ACCEPTED,0,0.8737,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.874, correct=True, unsafe=False)"
Policy_A_Direct,1,63,279000.0,WINDOW,1,0.9459,,,,"EEG epoch received — trial 63, subject 1"
Policy_A_Direct,1,63,279000.1,INFERENCE,1,0.9459,,,,"Decoder output: class=1, conf=0.946, latency=1.96ms"
Policy_A_Direct,1,63,279001.962,ACCEPTED,1,0.9459,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.946, correct=True, unsafe=False)"
Policy_A_Direct,1,64,283500.0,WINDOW,1,0.6641,,,,"EEG epoch received — trial 64, subject 1"
Policy_A_Direct,1,64,283500.1,INFERENCE,1,0.6641,,,,"Decoder output: class=1, conf=0.664, latency=2.01ms"
Policy_A_Direct,1,64,283502.009,ACCEPTED,1,0.6641,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.664, correct=True, unsafe=False)"
Policy_A_Direct,1,65,288000.0,WINDOW,0,0.5746,,,,"EEG epoch received — trial 65, subject 1"
Policy_A_Direct,1,65,288000.1,INFERENCE,0,0.5746,,,,"Decoder output: class=0, conf=0.575, latency=2.04ms"
Policy_A_Direct,1,65,288002.037,ACCEPTED,0,0.5746,CLASS_0,False,True,"Confirmed command issued: CLASS_0 (conf=0.575, correct=False, unsafe=True)"
Policy_A_Direct,1,66,292500.0,WINDOW,0,0.7294,,,,"EEG epoch received — trial 66, subject 1"
Policy_A_Direct,1,66,292500.1,INFERENCE,0,0.7294,,,,"Decoder output: class=0, conf=0.729, latency=2.04ms"
Policy_A_Direct,1,66,292502.045,ACCEPTED,0,0.7294,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.729, correct=True, unsafe=False)"
Policy_A_Direct,1,67,297000.0,WINDOW,0,0.8594,,,,"EEG epoch received — trial 67, subject 1"
Policy_A_Direct,1,67,297000.1,INFERENCE,0,0.8594,,,,"Decoder output: class=0, conf=0.859, latency=2.13ms"
Policy_A_Direct,1,67,297002.135,ACCEPTED,0,0.8594,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.859, correct=True, unsafe=False)"
Policy_A_Direct,1,68,301500.0,WINDOW,0,0.9193,,,,"EEG epoch received — trial 68, subject 1"
Policy_A_Direct,1,68,301500.1,INFERENCE,0,0.9193,,,,"Decoder output: class=0, conf=0.919, latency=2.14ms"
Policy_A_Direct,1,68,301502.137,ACCEPTED,0,0.9193,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.919, correct=True, unsafe=False)"
Policy_A_Direct,1,69,306000.0,WINDOW,0,0.9869,,,,"EEG epoch received — trial 69, subject 1"
Policy_A_Direct,1,69,306000.1,INFERENCE,0,0.9869,,,,"Decoder output: class=0, conf=0.987, latency=2.11ms"
